PROVIDER_NUMBER,FYB,FYE,STATUS,CTRL_TYPE,hclinic_Name,Street_Addr,Po_Box,City,State,Zip_Code,County
011000,01-OCT-14,30-SEP-15,Settled,,MOBILE MEDICAL VAN,251 NORTH BAYOU STREET,,MOBILE,AL,36603-5827,MOBILE
011005,11-JUN-13,30-JUN-14,Settled,1,RURAL HEALTH MEDICAL PROGRAM,228 SELMA AVENUE,,SELMA,AL,36701,DALLAS
011006,01-APR-14,31-MAR-15,Settled,1,TUSKEGEE QUALITY HEALTH CARE,707 MARTIN LUTHER KING HIGHWAY,,TUSKEGEE,AL,36083,MACON
011007,30-MAY-13,30-SEP-13,Settled,2,SOUTHWEST MOBILE HEALTH CENTER,PO BOX 2867,,MOBILE,AL,36652-2867,MOBILE
011008,31-JAN-14,31-JAN-15,Settled,1,CAPITAL FAMILY HEALTH CENTER,2140 UPPER WETUMPKA ROAD,,MONTGOMERY,AL,36107-1342,MONTGOMERY
011010,10-MAR-14,31-MAR-15,Settled,1,CALHOUN QUALITY OF LIFE HEALTH,601 LEIGHTON AVENUE,,ANNISTON,AL,36201,CALHOUN
011011,10-MAR-14,31-MAR-15,Settled,1,CLAY QUALITY HEALTH CARE,40745 HIGHWAY 77,,ASHLAND,AL,36251,CLAY
011012,09-APR-14,31-DEC-14,Settled,1,CHRIST HEALTH CENTER  INC.,5720 1ST AVENUE SOUTH,,BIRMINGHAM,AL,35212-2522,JEFFERSON
011017,17-JUL-14,30-NOV-14,Settled,1,PICKENS COUNTY FAMILY MEDICINE,27340 HIGHWAY 86,,GORDO,AL,35466,PICKENS
011801,01-FEB-14,31-JAN-15,Settled,1,RIVER REGION HEALTH CENTER,P. O. BOX 70365,,MONTGOMERY,AL,36107-0365,MONTGOMERY
011803,01-APR-14,31-MAR-15,Settled,1,QUALITY OF LIFE HEALTH MOBILE UNIT,1411 PIEDMONT CUTOFF,,GADSDEN,AL,35903,ETOWAH
011806,05-JUN-12,31-JAN-13,Settled,1,SOUTHSIDE FAMILY HEALTH CENTER,2611 WOODLEY PARK DRIVE,,MONTGOMERY,AL,36116,MONTGOMERY
011807,01-JAN-14,31-DEC-14,Settled,1,CAHABA MEDICAL CARE,405 BELCHER ST,,CENTREVILLE,AL,35042,BIBB
011810,01-DEC-13,30-NOV-14,Settled,1,WHATLEY HEALTH SERVICES  INC.,2731 MLK JR BLVD,,TUSCALOOSA,AL,35401,TUSCALOOSA
011812,01-OCT-14,30-SEP-15,Settled,,NORTH BALDWIN RURAL HIV HEALTH CLINI,312 COURTHOUSE SQUARE,,BAY MINETTE,AL,36652-2867,BALDWIN
011813,01-APR-14,31-MAR-15,Settled,1,ROBERTA WATTS NEIGHBORHOOD HEALTH,1020 TUSCALOOSA AVENUE,,GADSDEN,AL,35901,ETOWAH
011815,01-JUN-14,31-MAY-15,Settled,1,NORTHEAST ALABAMA HEALTH SERVICES,309 TAYLOR STREET,,SCOTTSBORO,AL,35768,JACKSON
011833,01-DEC-13,30-NOV-14,Settled,4,MOSTELLAR MEDICAL CENTER,12701 PADGETT SWITCH RD.,,IRVINGTON,AL,36544,MOBILE
011835,01-JUL-14,30-JUN-15,Settled,2,RURAL HEALTH MEDICAL PROGRAM,2210 HIGHWAY 221 NORTH,,CAMDEN,AL,36726,WILCOX
011838,01-JAN-14,31-DEC-14,Settled,1,CENTRAL NORTH ALABAMA HEALTH SERVICE,751 PLEASANT ROW,,HUNTSVILLE,AL,35816,MADISION
011839,01-APR-09,31-MAR-10,Settled,,CENTRAL ALABAMA COMPREHENSIVE HEALTH,203 WEST LEE STREET,,TUSKEGEE,AL,36087,MACON
011840,01-APR-14,31-MAR-15,Settled,1,SOUTHEAST ALABAMA RURAL HEALTH ASSOC,1414 ELBA HIGHWAY,,TROY,AL,36079,PIKE
011841,01-DEC-13,30-NOV-14,Settled,,FRANKLIN PRIMARY HEALTH CENTER  INC.,1956 DUVAL STREET,,MOBILE,AL,36606,MOBILE
011846,01-OCT-13,30-SEP-14,Settled,8,FAMILY ORIENTED PRIMARY H/C,251 N. BAYOU STREET,,MOBILE,AL,36652-2867,MOBILE
011857,01-JAN-14,31-DEC-14,As Submitted,1,BIRMINGHAM HEALTH CARE,712 25TH STREET NORTH,,BIRMINGHAM,AL,35205,JEFFERSON
011870,01-JAN-14,31-DEC-14,Settled,2,POARCH BAND OF CREEK INDIANS,5811 JACK SPRINGS ROAD,,ATMORE,AL,36502,ESCAMBIA
011883,01-DEC-12,30-NOV-13,Settled,1,TRI COUNTY MEDICAL CENTER  INC.,316 SOUTH MAIN STREET,,EVERGREEEN,AL,36401,CONECUH
