PROVIDER_NUMBER,FYB,FYE,STATUS,CTRL_TYPE,hclinic_Name,Street_Addr,Po_Box,City,State,Zip_Code,County
011000,10-SEP-12,30-SEP-13,Settled,2,MOBILE MEDICAL VAN,P.O. BOX,,MOBILE,AL,36652-2867,MOBILE
011005,11-JUN-13,30-JUN-14,Settled,1,RURAL HEALTH MEDICAL PROGRAM,228 SELMA AVENUE,,SELMA,AL,36701,DALLAS
011006,01-APR-14,31-MAR-15,As Submitted,1,TUSKEGEE QUALITY HEALTH CARE,707 MARTIN LUTHER KING HIGHWAY,,TUSKEGEE,AL,36083,MACON
011007,30-MAY-13,30-SEP-13,Settled,2,SOUTHWEST MOBILE HEALTH CENTER,PO BOX 2867,,MOBILE,AL,36652-2867,MOBILE
011008,31-JAN-14,31-JAN-15,As Submitted,1,CAPITAL FAMILY HEALTH CENTER,2140 UPPER WETUMPKA ROAD,,MONTGOMERY,AL,36107-1342,MONTGOMERY
011011,01-APR-14,31-MAR-15,As Submitted,1,CLAY QUALITY HEALTH CARE,40745 HIGHWAY 77,,ASHLAND,AL,36251,CLAY
011012,09-APR-14,31-DEC-14,As Submitted,1,CHRIST HEALTH CENTER  INC.,5720 1ST AVENUE SOUTH,,BIRMINGHAM,AL,35212-2522,JEFFERSON
011801,01-FEB-14,31-JAN-15,As Submitted,1,RIVER REGION HEALTH CENTER,P. O. BOX 70365,,MONTGOMERY,AL,36107-0365,MONTGOMERY
011803,01-APR-14,31-MAR-15,As Submitted,1,QUALITY OF LIFE HEALTH MOBILE UNIT,1411 PIEDMONT CUTOFF,,GADSDEN,AL,35903,ETOWAH
011806,05-JUN-12,31-JAN-13,Settled,1,SOUTHSIDE FAMILY HEALTH CENTER,2611 WOODLEY PARK DRIVE,,MONTGOMERY,AL,36116,MONTGOMERY
011807,01-JAN-14,31-DEC-14,As Submitted,1,CAHABA MEDICAL CARE,405 BELCHER ST,,CENTREVILLE,AL,35042,BIBB
011810,01-DEC-13,30-NOV-14,As Submitted,1,WHATLEY HEALTH SERVICES  INC.,2731 MLK JR BLVD,,TUSCALOOSA,AL,35401,TUSCALOOSA
011812,11-SEP-12,30-SEP-13,Settled,2,NORTH BALDWIN RURAL HIV HEALTH,PO BOX 2867,,MOBILE,AL,36652-2867,MOBILE
011813,01-APR-14,31-MAR-15,As Submitted,1,ROBERTA WATTS NEIGHBORHOOD HEALTH,1020 TUSCALOOSA AVENUE,,GADSDEN,AL,35901,ETOWAH
011815,01-JUN-13,31-MAY-14,As Submitted,1,NORTHEAST ALABAMA HEALTH SERVICES,309 TAYLOR STREET,,SCOTTSBORO,AL,35768,JACKSON
011833,01-DEC-13,30-NOV-14,As Submitted,4,MOSTELLAR MEDICAL CENTER,12701 PADGETT SWITCH RD.,,IRVINGTON,AL,36544,MOBILE
011835,01-JUL-13,30-JUN-14,As Submitted,1,RURAL HEALTH MEDICAL PROGRAM,2210 HIGHWAY 221 NORTH,,CAMDEN,AL,36726,WILCOX
011838,01-JAN-14,31-DEC-14,As Submitted,1,CENTRAL NORTH ALABAMA HEALTH SERVICE,751 PLEASANT ROW,,HUNTSVILLE,AL,35816,MADISION
011839,01-APR-09,31-MAR-10,Settled,,CENTRAL ALABAMA COMPREHENSIVE HEALTH,203 WEST LEE STREET,,TUSKEGEE,AL,36087,MACON
011840,01-APR-14,31-MAR-15,As Submitted,1,SOUTHEAST ALABAMA RURAL HEALTH ASSOC,1414 ELBA HIGHWAY,,TROY,AL,36079,PIKE
